#options: 480x270 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=8 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=250 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:39.51 aq:24.28 tex:12339 mv:3782 misc:11511 imb:510 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:39.72 aq:30.32 tex:371 mv:284 misc:289 imb:2 pmb:35 smb:473 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:39.72 aq:23.00 tex:1 mv:9 misc:118 imb:0 pmb:1 smb:509 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:39.72 aq:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:510 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:39.72 aq:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:510 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:39.22 aq:31.29 tex:626 mv:393 misc:333 imb:2 pmb:50 smb:458 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:39.47 aq:23.00 tex:2 mv:18 misc:132 imb:0 pmb:2 smb:508 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:39.59 aq:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:510 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:39.34 aq:24.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:510 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:42.20 aq:33.70 tex:127 mv:183 misc:258 imb:0 pmb:22 smb:488 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:40.71 aq:24.00 tex:1 mv:20 misc:139 imb:0 pmb:2 smb:508 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:39.97 aq:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:510 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:41.45 aq:26.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:510 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:34.59 aq:24.22 tex:8791 mv:1234 misc:295 imb:12 pmb:166 smb:332 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:38.39 aq:22.00 tex:6 mv:56 misc:170 imb:0 pmb:7 smb:503 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:40.30 aq:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:510 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:36.49 aq:21.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:510 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:30.26 aq:19.69 tex:17253 mv:1149 misc:270 imb:10 pmb:188 smb:312 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:32.43 aq:17.61 tex:54 mv:157 misc:221 imb:0 pmb:19 smb:491 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:33.51 aq:19.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:510 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:31.34 aq:17.44 tex:25 mv:13 misc:130 imb:0 pmb:2 smb:508 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:28.42 aq:17.97 tex:13462 mv:958 misc:308 imb:4 pmb:178 smb:328 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:29.34 aq:24.60 tex:101 mv:197 misc:222 imb:0 pmb:19 smb:491 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:29.80 aq:15.00 tex:6 mv:53 misc:149 imb:0 pmb:5 smb:505 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:28.88 aq:14.00 tex:7 mv:66 misc:159 imb:0 pmb:6 smb:504 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:27.51 aq:18.36 tex:13626 mv:926 misc:304 imb:3 pmb:176 smb:331 d:- ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:27.97 aq:19.74 tex:181 mv:302 misc:269 imb:0 pmb:28 smb:482 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:28.19 aq:13.00 tex:10 mv:67 misc:155 imb:0 pmb:8 smb:502 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:27.74 aq:13.00 tex:12 mv:79 misc:181 imb:0 pmb:9 smb:501 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:26.35 aq:17.14 tex:14557 mv:912 misc:299 imb:0 pmb:178 smb:332 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:26.93 aq:22.45 tex:137 mv:285 misc:258 imb:0 pmb:24 smb:486 d:- ref:0 ;
