#options: cpuid=1111039 frame-threads=2 numa-pools=6 wpp no-pmode no-pme no-psnr no-ssim log-level=2 bitdepth=8 input-csp=1 fps=30/1 input-res=480x270 interlace=0 total-frames=0 level-idc=0 high-tier=1 uhd-bd=0 ref=3 no-allow-non-conformance repeat-headers annexb no-aud no-hrd info hash=0 no-temporal-layers open-gop min-keyint=25 keyint=250 gop-lookahead=0 bframes=4 b-adapt=2 b-pyramid bframe-bias=0 rc-lookahead=20 lookahead-slices=0 scenecut=40 hist-scenecut=0 radl=0 no-splice no-intra-refresh ctu=64 min-cu-size=8 no-rect no-amp max-tu-size=32 tu-inter-depth=1 tu-intra-depth=1 limit-tu=0 rdoq-level=0 dynamic-rd=0.00 no-ssim-rd signhide no-tskip nr-intra=0 nr-inter=0 no-constrained-intra strong-intra-smoothing max-merge=3 limit-refs=1 no-limit-modes me=1 subme=2 merange=57 temporal-mvp no-frame-dup no-hme weightp no-weightb no-analyze-src-pics deblock=0:0 sao no-sao-non-deblock rd=3 selective-sao=4 early-skip rskip no-fast-intra no-tskip-fast no-cu-lossless b-intra no-splitrd-skip rdpenalty=0 psy-rd=2.00 psy-rdoq=0.00 no-rd-refine no-lossless cbqpoffs=0 crqpoffs=0 rc=abr bitrate=120 qcomp=0.60 qpstep=4 stats-write=1 stats-read=0 slow-firstpass ipratio=1.40 pbratio=1.30 aq-mode=2 aq-strength=1.00 cutree zone-count=0 no-strict-cbr qg-size=32 no-rc-grain qpmax=69 qpmin=0 no-const-vbv sar=1 overscan=0 videoformat=5 range=0 colorprim=2 transfer=2 colormatrix=2 chromaloc=1 chromaloc-top=0 chromaloc-bottom=0 display-window=0 cll=0,0 min-luma=0 max-luma=255 log2-max-poc-lsb=8 vui-timing-info vui-hrd-info slices=1 no-opt-qp-pps no-opt-ref-list-length-pps no-multi-pass-opt-rps scenecut-bias=0.05 hist-threshold=0.03 no-opt-cu-delta-qp no-aq-motion no-hdr10 no-hdr10-opt no-dhdr10-opt no-idr-recovery-sei analysis-reuse-level=0 analysis-save-reuse-level=0 analysis-load-reuse-level=0 scale-factor=0 refine-intra=0 refine-inter=0 refine-mv=1 refine-ctu-distortion=0 no-limit-sao ctu-info=0 no-lowpass-dct refine-analysis-type=0 copy-pic=1 max-ausize-factor=1.0 no-dynamic-refine no-single-sei no-hevc-aq no-svt no-field qp-adaptation-range=1.00 scenecut-aware-qp=0conformance-window-offsets right=0 bottom=0 decoder-max-rate=0 no-vbv-live-multi-pass
in:0 out:0 type:I q:37.00 q-aq:29.47 q-noVbv:37.00 q-Rceq:1.08 tex:15856 mv:4064 misc:377 icu:510.00 pcu:0.00 scu:0.00 sc:0 ;
in:4 out:1 type:P q:43.91 q-aq:42.32 q-noVbv:43.91 q-Rceq:1.08 tex:19 mv:130 misc:114 icu:0.00 pcu:6.00 scu:504.00 sc:0 ;
in:2 out:2 type:B q:45.05 q-aq:43.91 q-noVbv:45.05 q-Rceq:1.08 tex:0 mv:58 misc:37 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:1 out:3 type:b q:46.18 q-aq:45.22 q-noVbv:46.18 q-Rceq:1.08 tex:0 mv:49 misc:36 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:3 out:4 type:b q:46.18 q-aq:45.22 q-noVbv:46.18 q-Rceq:1.08 tex:0 mv:38 misc:37 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:8 out:5 type:P q:41.77 q-aq:38.91 q-noVbv:41.77 q-Rceq:1.08 tex:195 mv:242 misc:196 icu:0.00 pcu:23.25 scu:486.75 sc:0 ;
in:6 out:6 type:B q:43.98 q-aq:43.06 q-noVbv:43.98 q-Rceq:1.08 tex:0 mv:84 misc:60 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:5 out:7 type:b q:45.65 q-aq:45.22 q-noVbv:45.65 q-Rceq:1.08 tex:0 mv:43 misc:68 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:7 out:8 type:b q:44.58 q-aq:44.22 q-noVbv:44.58 q-Rceq:1.08 tex:0 mv:77 misc:63 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:12 out:9 type:P q:37.77 q-aq:32.32 q-noVbv:37.77 q-Rceq:1.08 tex:1560 mv:609 misc:387 icu:1.00 pcu:67.50 scu:441.50 sc:0 ;
in:10 out:10 type:B q:40.90 q-aq:40.06 q-noVbv:40.90 q-Rceq:1.08 tex:0 mv:140 misc:103 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:9 out:11 type:b q:43.04 q-aq:42.22 q-noVbv:43.04 q-Rceq:1.08 tex:0 mv:63 misc:49 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:11 out:12 type:b q:41.04 q-aq:40.22 q-noVbv:41.04 q-Rceq:1.08 tex:0 mv:39 misc:71 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:16 out:13 type:P q:34.28 q-aq:28.46 q-noVbv:34.28 q-Rceq:1.08 tex:5356 mv:1178 misc:567 icu:4.75 pcu:118.25 scu:387.00 sc:0 ;
in:14 out:14 type:B q:37.16 q-aq:36.06 q-noVbv:37.16 q-Rceq:1.08 tex:0 mv:133 misc:90 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:13 out:15 type:b q:39.17 q-aq:38.22 q-noVbv:39.17 q-Rceq:1.08 tex:0 mv:52 misc:65 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:15 out:16 type:b q:37.42 q-aq:36.38 q-noVbv:37.42 q-Rceq:1.08 tex:0 mv:68 misc:63 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:20 out:17 type:P q:32.83 q-aq:27.20 q-noVbv:32.83 q-Rceq:1.08 tex:6770 mv:1068 misc:638 icu:0.00 pcu:113.25 scu:396.75 sc:0 ;
in:18 out:18 type:B q:34.69 q-aq:34.20 q-noVbv:34.69 q-Rceq:1.08 tex:0 mv:92 misc:78 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:17 out:19 type:b q:36.18 q-aq:35.22 q-noVbv:36.18 q-Rceq:1.08 tex:0 mv:37 misc:45 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:19 out:20 type:b q:35.46 q-aq:34.38 q-noVbv:35.46 q-Rceq:1.08 tex:0 mv:68 misc:78 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:24 out:21 type:P q:31.73 q-aq:26.21 q-noVbv:31.73 q-Rceq:1.08 tex:6699 mv:1066 misc:666 icu:1.50 pcu:119.50 scu:389.00 sc:0 ;
in:22 out:22 type:B q:33.42 q-aq:32.36 q-noVbv:33.42 q-Rceq:1.08 tex:0 mv:101 misc:92 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:21 out:23 type:b q:34.82 q-aq:34.22 q-noVbv:34.82 q-Rceq:1.08 tex:0 mv:69 misc:52 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:23 out:24 type:b q:34.28 q-aq:33.22 q-noVbv:34.28 q-Rceq:1.08 tex:0 mv:76 misc:63 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:28 out:25 type:P q:30.74 q-aq:25.26 q-noVbv:30.74 q-Rceq:1.08 tex:8054 mv:1178 misc:672 icu:1.50 pcu:127.00 scu:381.50 sc:0 ;
in:26 out:26 type:B q:32.37 q-aq:31.36 q-noVbv:32.37 q-Rceq:1.08 tex:0 mv:113 misc:92 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:25 out:27 type:b q:33.76 q-aq:33.22 q-noVbv:33.76 q-Rceq:1.08 tex:0 mv:66 misc:59 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:27 out:28 type:b q:33.26 q-aq:32.22 q-noVbv:33.26 q-Rceq:1.08 tex:0 mv:74 misc:68 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:32 out:29 type:P q:29.96 q-aq:24.44 q-noVbv:29.96 q-Rceq:1.08 tex:8284 mv:1155 misc:634 icu:0.00 pcu:108.00 scu:402.00 sc:0 ;
in:30 out:30 type:B q:31.49 q-aq:30.36 q-noVbv:31.49 q-Rceq:1.08 tex:0 mv:120 misc:96 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:29 out:31 type:b q:32.81 q-aq:32.22 q-noVbv:32.81 q-Rceq:1.08 tex:0 mv:48 misc:67 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:31 out:32 type:b q:32.43 q-aq:31.38 q-noVbv:32.43 q-Rceq:1.08 tex:0 mv:73 misc:67 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:36 out:33 type:P q:29.33 q-aq:23.54 q-noVbv:29.33 q-Rceq:1.08 tex:10269 mv:1258 misc:720 icu:0.75 pcu:109.00 scu:400.25 sc:0 ;
in:34 out:34 type:B q:30.78 q-aq:30.20 q-noVbv:30.78 q-Rceq:1.08 tex:1 mv:115 misc:97 icu:0.00 pcu:1.00 scu:509.00 sc:0 ;
in:33 out:35 type:b q:32.08 q-aq:31.22 q-noVbv:32.08 q-Rceq:1.08 tex:0 mv:53 misc:50 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:35 out:36 type:b q:31.76 q-aq:31.22 q-noVbv:31.76 q-Rceq:1.08 tex:0 mv:99 misc:65 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:40 out:37 type:P q:29.02 q-aq:23.52 q-noVbv:29.02 q-Rceq:1.08 tex:8225 mv:1092 misc:615 icu:0.00 pcu:126.25 scu:383.75 sc:0 ;
in:38 out:38 type:B q:30.31 q-aq:28.84 q-noVbv:30.31 q-Rceq:1.08 tex:21 mv:154 misc:115 icu:0.00 pcu:2.00 scu:508.00 sc:0 ;
in:37 out:39 type:b q:31.53 q-aq:31.22 q-noVbv:31.53 q-Rceq:1.08 tex:0 mv:70 misc:49 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:39 out:40 type:b q:31.37 q-aq:30.38 q-noVbv:31.37 q-Rceq:1.08 tex:0 mv:79 misc:67 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:44 out:41 type:P q:28.56 q-aq:23.19 q-noVbv:28.56 q-Rceq:1.08 tex:9994 mv:1431 misc:718 icu:1.00 pcu:121.25 scu:387.75 sc:0 ;
in:42 out:42 type:B q:29.92 q-aq:29.19 q-noVbv:29.92 q-Rceq:1.08 tex:9 mv:127 misc:102 icu:0.00 pcu:5.00 scu:505.00 sc:0 ;
in:41 out:43 type:b q:31.18 q-aq:30.22 q-noVbv:31.18 q-Rceq:1.08 tex:0 mv:70 misc:61 icu:0.00 pcu:1.00 scu:509.00 sc:0 ;
